pr,acc,f-measure,precision
4429,0.5,0.8399999999999999,0.6661904761904762
4431,0.25,0.76,0.28
4439,0.2222222238779068,0.72,0.34285714285714286
4443,0.3333333432674408,0.76,0.33714285714285713
4444,0.25,0.76,0.23047619047619047
4448,0.1666666716337204,0.8000000000000002,0.16666666666666666
4452,0.4444444477558136,0.8000000000000002,0.46095238095238095
4453,0.0,0.88,0.04
4470,0.25,0.76,0.5152380952380953
4484,0.6000000238418579,0.92,0.8857142857142857
4492,0.6666666865348816,0.92,0.6666666666666666
4498,0.25,0.88,0.35
4505,0.3333333432674408,0.76,0.32125
4507,0.2222222238779068,0.72,0.22285714285714286
4518,0.20000000298023224,0.8399999999999999,0.245
4519,0.6666666865348816,0.92,0.822857142857143
4520,0.5,0.8399999999999999,0.7555555555555555
4531,0.20000000298023224,0.8399999999999999,0.19111111111111112
4533,0.75,0.96,0.79
4546,0.5,0.88,0.5
4547,0.06666667014360428,0.44,0.14083333333333334
4549,0.4444444477558136,0.8000000000000002,0.6160714285714286
4553,0.4000000059604645,0.88,0.45
4554,0.25,0.76,0.23047619047619047
4560,0.2222222238779068,0.72,0.34285714285714286
4565,0.125,0.72,0.125
4577,0.20000000298023224,0.68,0.31817460317460317
4578,0.1111111119389534,0.68,0.20000000000000004
4587,0.8333333134651184,0.96,0.8333333333333334
4596,0.1666666716337204,0.8000000000000002,0.3666666666666667
4601,0.3636363744735718,0.72,0.4057142857142857
4602,0.3333333432674408,0.76,0.33714285714285713
4604,0.4285714328289032,0.8399999999999999,0.415
4605,0.1111111119389534,0.68,0.12761904761904763
4607,0.1818181872367859,0.64,0.2261111111111111
4608,0.3333333432674408,0.8399999999999999,0.4933333333333333
4613,0.30000001192092896,0.72,0.305
4617,0.3333333432674408,0.76,0.37
4618,0.2222222238779068,0.72,0.39190476190476187
4634,0.5714285969734192,0.88,0.5733333333333334
4642,0.1666666716337204,0.8000000000000002,0.16666666666666666
4644,0.4444444477558136,0.8000000000000002,0.46095238095238095
4658,0.5,0.88,0.48999999999999994
4660,0.2857142984867096,0.8000000000000002,0.28
4692,0.20000000298023224,0.68,0.23428571428571426
4693,0.5,0.88,0.48999999999999994
4694,0.25,0.76,0.28
4696,0.375,0.8000000000000002,0.48142857142857143
4697,0.3333333432674408,0.8399999999999999,0.4933333333333333
4698,0.625,0.88,0.6352380952380953
4701,0.5,0.8000000000000002,0.6229629629629629
4702,0.375,0.8000000000000002,0.3614285714285714
4707,0.5454545617103577,0.8000000000000002,0.6577777777777778
4708,0.5,0.8399999999999999,0.66
4711,0.38461539149284363,0.68,0.7046153846153846
4713,0.4000000059604645,0.88,0.3733333333333333
4715,0.5,0.8000000000000002,0.6229629629629629
4716,0.1428571492433548,0.76,0.2833333333333333
4717,0.1304347813129425,0.20000000000000004,0.9304347826086957
4721,0.20000000298023224,0.8399999999999999,0.245
4722,0.75,0.96,0.75
4726,0.25,0.76,0.24666666666666665
4727,0.8571428656578064,0.96,0.9340659340659341
4729,0.30000001192092896,0.44,0.7906766917293233
4730,0.0,0.76,0.04
4731,0.4444444477558136,0.8000000000000002,0.5009523809523809
4732,0.1428571492433548,0.76,0.2
4738,0.5,0.88,0.53
4739,0.2857142984867096,0.8000000000000002,0.2622222222222222
4741,0.4000000059604645,0.88,0.5233333333333333
4742,0.4285714328289032,0.8399999999999999,0.415
4743,0.5,0.88,0.48999999999999994
4744,0.8571428656578064,0.96,0.8571428571428571
4750,0.4285714328289032,0.8399999999999999,0.53
4753,0.1666666716337204,0.8000000000000002,0.165
4757,0.375,0.8000000000000002,0.4464285714285714
4758,0.5,0.88,0.44
4759,0.1111111119389534,0.68,0.12761904761904763
4760,0.3333333432674408,0.76,0.37
4761,0.4285714328289032,0.8399999999999999,0.4672222222222222
4768,0.3333333432674408,0.8399999999999999,0.3333333333333333
4769,0.5714285969734192,0.88,0.6133333333333333
4779,0.3888888955116272,0.56,0.7602941176470588
4780,0.20000000298023224,0.68,0.4926190476190476
4784,0.5555555820465088,0.8399999999999999,0.5608333333333334
4787,0.30000001192092896,0.72,0.3742857142857143
4791,0.3333333432674408,0.76,0.33714285714285713
4792,0.375,0.8000000000000002,0.375
4794,1.0,1.0,1.0
4799,0.20000000298023224,0.68,0.20500000000000002
4801,0.25,0.88,0.37
4803,0.1666666716337204,0.8000000000000002,0.16666666666666666
4806,0.2857142984867096,0.6,0.3022222222222222
4807,0.3333333432674408,0.76,0.375
4813,0.1428571492433548,0.76,0.3544444444444444
4815,0.3333333432674408,0.68,0.5066666666666666
4818,0.6000000238418579,0.92,0.6025
4822,0.5,0.8399999999999999,0.5771428571428572
4823,0.1666666716337204,0.8000000000000002,0.32
4828,0.25,0.76,0.23047619047619047
4835,0.4000000059604645,0.88,0.4
4838,0.3636363744735718,0.72,0.4057142857142857
4839,0.4000000059604645,0.76,0.39555555555555555
4847,0.4285714328289032,0.8399999999999999,0.44
4848,0.800000011920929,0.96,0.8400000000000001
4855,0.4444444477558136,0.8000000000000002,0.5009523809523809
4856,0.30000001192092896,0.72,0.425
4858,0.4285714328289032,0.8399999999999999,0.42857142857142855
4860,0.3333333432674408,0.8399999999999999,0.4933333333333333
4872,0.2222222238779068,0.72,0.4066666666666666
4876,0.4285714328289032,0.68,0.615
4884,0.4615384638309479,0.72,0.4890909090909091
4885,0.1111111119389534,0.68,0.12761904761904763
4890,0.20000000298023224,0.8399999999999999,0.19111111111111112
4891,0.4166666567325592,0.72,0.5571428571428572
4892,0.20000000298023224,0.68,0.365
4894,0.7857142686843872,0.88,0.9057142857142857
4896,0.4000000059604645,0.88,0.3733333333333333
4897,0.4285714328289032,0.8399999999999999,0.42857142857142855
4898,0.6363636255264282,0.8399999999999999,0.7324999999999999
4904,0.20000000298023224,0.8399999999999999,0.5318181818181819
4910,0.4285714328289032,0.8399999999999999,0.415
4914,0.25,0.88,0.25
4916,0.20000000298023224,0.8399999999999999,0.245
4917,0.20000000298023224,0.8399999999999999,0.19111111111111112
4918,0.3333333432674408,0.8399999999999999,0.3733333333333333
4920,0.25,0.76,0.23047619047619047
4921,0.1428571492433548,0.76,0.12333333333333332
4927,0.3333333432674408,0.92,0.5833333333333333
4931,0.5,0.88,0.5
4933,0.5,0.8399999999999999,0.49111111111111105
4935,0.5,0.8399999999999999,0.5
4943,0.25,0.64,0.3490909090909091
4950,0.25,0.76,0.3904761904761905
4953,0.2857142984867096,0.8000000000000002,0.32
4956,0.3636363744735718,0.72,0.36000000000000004
4962,0.5714285969734192,0.88,0.8563265306122448
4964,0.30000001192092896,0.72,0.3
4965,0.4000000059604645,0.76,0.5426190476190476
4970,0.3333333432674408,0.76,0.37
4973,0.25,0.88,0.24666666666666665
4976,0.625,0.88,0.6561904761904762
4979,0.699999988079071,0.88,0.82
4980,0.4615384638309479,0.72,0.7415384615384615
4981,0.25,0.88,0.3733333333333333
4983,1.0,1.0,1.0
4991,0.1428571492433548,0.76,0.12333333333333332
4993,0.4285714328289032,0.8399999999999999,0.415
4996,0.5,0.92,0.5
4999,0.3076923191547394,0.64,0.5224242424242425
5007,0.5,0.88,0.49666666666666665
5010,0.125,0.72,0.11142857142857143
5011,0.20000000298023224,0.68,0.2711111111111111
5014,0.1666666716337204,0.8000000000000002,0.16666666666666666
5024,0.4000000059604645,0.88,0.3733333333333333
5032,0.8333333134651184,0.96,0.8066666666666668
5033,0.25,0.76,0.24666666666666665
5034,0.4000000059604645,0.88,0.7333333333333334
5040,0.27272728085517883,0.68,0.3875
5042,0.2857142984867096,0.8000000000000002,0.34714285714285714
5048,0.5714285969734192,0.88,0.8761904761904762
5054,0.2142857164144516,0.56,0.23
5056,0.4000000059604645,0.88,0.3733333333333333
5057,0.4000000059604645,0.88,0.3733333333333333
5058,0.5555555820465088,0.8399999999999999,0.5608333333333334
5062,0.1666666716337204,0.8000000000000002,0.16333333333333333
5068,0.625,0.88,0.8300000000000001
5070,0.3636363744735718,0.72,0.56
5076,0.1428571492433548,0.52,0.5425641025641026
5086,0.30000001192092896,0.72,0.44857142857142857
5101,0.5,0.88,0.48999999999999994
5103,0.625,0.88,0.6352380952380953
5110,0.5714285969734192,0.88,0.6914285714285714
5118,0.5,0.8399999999999999,0.6561904761904762
5121,0.1818181872367859,0.64,0.2261111111111111
5123,0.6363636255264282,0.8399999999999999,0.6363636363636364
5125,0.1666666716337204,0.8000000000000002,0.54
5131,0.3888888955116272,0.56,0.5541025641025641
5132,0.5,0.92,0.4844444444444444
5134,0.7142857313156128,0.92,0.7142857142857143
5135,0.6000000238418579,0.92,0.5625
5137,0.1111111119389534,0.68,0.28761904761904766
5138,0.5,0.88,0.53
5141,0.4444444477558136,0.8000000000000002,0.44
5142,0.27272728085517883,0.68,0.3159090909090909
5148,0.27272728085517883,0.68,0.3075
5150,0.4285714328289032,0.8399999999999999,0.415
5155,0.4285714328289032,0.8399999999999999,0.415
5167,0.5714285969734192,0.88,0.6133333333333333
5168,0.5,0.8000000000000002,0.5664285714285715
5170,0.5555555820465088,0.8399999999999999,0.6408333333333334
5182,0.5,0.92,0.41666666666666663
5184,0.3571428656578064,0.64,0.4777777777777778
5188,0.3333333432674408,0.76,0.3333333333333333
5190,0.8333333134651184,0.96,0.8333333333333334
5191,0.1818181872367859,0.64,0.5016666666666667
5192,0.3333333432674408,0.68,0.6533333333333333
5195,0.6666666865348816,0.88,0.6666666666666666
5196,0.30000001192092896,0.72,0.49
5197,0.30000001192092896,0.72,0.58
5200,0.4285714328289032,0.8399999999999999,0.415
5201,0.5,0.92,0.58
5203,0.4000000059604645,0.64,0.84
5204,0.5,0.88,0.62
5206,0.0,0.72,0.08
5209,0.2857142984867096,0.8000000000000002,0.2857142857142857
5210,0.1428571492433548,0.76,0.22583333333333333
5211,0.4285714328289032,0.8399999999999999,0.54
5213,0.2857142984867096,0.8000000000000002,0.365
5214,0.5,0.92,0.58
5215,0.4444444477558136,0.8000000000000002,0.56
5216,0.30000001192092896,0.72,0.46520408163265303
5217,0.5,0.88,0.7133333333333334
5218,0.8333333134651184,0.96,0.9583333333333333
5219,0.1666666716337204,0.6,0.16666666666666666
5224,0.5,0.92,0.8666666666666667
5229,0.4000000059604645,0.88,0.5
5230,0.30000001192092896,0.72,0.305
5235,0.5,0.8000000000000002,0.5264285714285715
5259,0.3333333432674408,0.8399999999999999,0.3333333333333333
5264,0.5555555820465088,0.8399999999999999,0.6408333333333334
5266,0.1666666716337204,0.8000000000000002,0.16666666666666666
5276,0.25,0.76,0.28
5280,0.1666666716337204,0.8000000000000002,0.22333333333333333
5283,0.2857142984867096,0.8000000000000002,0.38222222222222224
