pr,acc,f-measure,precision
4693,1.0,1.0,1.0
4694,0.4444444477558136,0.8000000000000002,0.44
4696,0.5714285969734192,0.88,0.6914285714285714
4697,0.4285714328289032,0.8399999999999999,0.495
4698,0.27272728085517883,0.68,0.3075
4701,0.5,0.8000000000000002,0.6782010582010582
4702,0.25,0.76,0.24666666666666665
4707,0.4444444477558136,0.8000000000000002,0.7155555555555555
4708,0.4000000059604645,0.76,0.4933333333333333
4711,0.38461539149284363,0.68,0.7046153846153846
4713,0.5,0.88,0.5
4715,0.5555555820465088,0.8399999999999999,0.7155555555555555
4716,0.5714285969734192,0.88,0.6133333333333333
4717,0.17391304671764374,0.24,0.9339130434782609
4721,0.3333333432674408,0.8399999999999999,0.33
4722,0.3333333432674408,0.8399999999999999,0.30666666666666664
4726,0.6666666865348816,0.92,0.6666666666666666
4727,0.699999988079071,0.88,0.7
4729,0.2631579041481018,0.44,0.8231578947368421
4730,0.20000000298023224,0.8399999999999999,0.2
4731,0.4285714328289032,0.8399999999999999,0.5885714285714285
4732,0.1666666716337204,0.8000000000000002,0.16666666666666666
4738,0.6666666865348816,0.92,0.6800000000000002
4739,0.125,0.72,0.13555555555555554
4741,0.3333333432674408,0.8399999999999999,0.33
4742,0.375,0.8000000000000002,0.4861111111111111
4743,0.3333333432674408,0.8399999999999999,0.33
4744,0.5714285969734192,0.88,0.6133333333333333
4750,0.125,0.72,0.25
4753,0.1428571492433548,0.76,0.12333333333333332
4757,0.20000000298023224,0.68,0.20500000000000002
4758,0.375,0.8000000000000002,0.3614285714285714
4759,0.1428571492433548,0.76,0.14666666666666667
4760,0.27272728085517883,0.68,0.3075
4761,0.4285714328289032,0.8399999999999999,0.495
4768,0.1666666716337204,0.8000000000000002,0.14
4769,0.375,0.8000000000000002,0.42
4779,0.30000001192092896,0.44,0.6752941176470588
4780,0.3333333432674408,0.76,0.48125
4784,0.5714285969734192,0.88,0.6133333333333333
4787,0.7142857313156128,0.92,0.7942857142857143
4791,0.3333333432674408,0.8399999999999999,0.38666666666666666
4792,0.3333333432674408,0.8399999999999999,0.30666666666666664
4794,0.3333333432674408,0.76,0.4252380952380952
4799,0.4000000059604645,0.88,0.41333333333333333
4801,0.2857142984867096,0.8000000000000002,0.28
4803,0.1666666716337204,0.8000000000000002,0.16666666666666666
4806,0.7142857313156128,0.92,0.7344444444444446
4807,0.5,0.88,0.5
4813,0.8333333134651184,0.96,0.8733333333333334
4815,0.6000000238418579,0.8399999999999999,0.76
4818,0.20000000298023224,0.8399999999999999,0.245
4822,0.3636363744735718,0.72,0.4057142857142857
4823,0.25,0.76,0.28
4828,0.5,0.88,0.5
4835,0.3333333432674408,0.8399999999999999,0.3333333333333333
4838,0.3636363744735718,0.72,0.4057142857142857
4839,0.625,0.88,0.625
4847,0.4166666567325592,0.72,0.4166666666666667
4848,0.4285714328289032,0.8399999999999999,0.44
4855,0.5714285969734192,0.88,0.6914285714285714
4856,0.625,0.88,0.745
4858,0.1666666716337204,0.8000000000000002,0.16333333333333333
4860,0.4285714328289032,0.8399999999999999,0.495
4872,0.5,0.8399999999999999,0.66
4876,0.5,0.76,0.74
4884,0.6000000238418579,0.8399999999999999,0.6425
4885,0.3333333432674408,0.8399999999999999,0.30666666666666664
4890,0.1428571492433548,0.76,0.14666666666666667
4891,0.3076923191547394,0.64,0.4685714285714285
4892,0.23076923191547394,0.6,0.35618055555555556
4894,0.5333333611488342,0.72,0.7479365079365079
4896,0.5,0.88,0.5
4897,0.1111111119389534,0.68,0.12761904761904763
4898,0.6153846383094788,0.8000000000000002,0.6618181818181819
4904,0.1666666716337204,0.8000000000000002,0.55
4910,0.2857142984867096,0.8000000000000002,0.28
4914,0.0,0.76,0.04
4916,0.375,0.8000000000000002,0.3614285714285714
4917,0.4000000059604645,0.88,0.3733333333333333
4918,0.25,0.76,0.23047619047619047
4920,0.1666666716337204,0.8000000000000002,0.16333333333333333
4921,0.1428571492433548,0.76,0.12333333333333332
4927,0.4000000059604645,0.88,0.4
4931,0.125,0.72,0.13555555555555554
4933,0.6666666865348816,0.88,0.6666666666666666
4935,0.5714285969734192,0.88,0.5714285714285714
4943,0.5714285969734192,0.88,0.7122222222222223
4950,0.5,0.8000000000000002,0.5264285714285715
4953,0.5714285969734192,0.88,0.5733333333333334
4956,0.4000000059604645,0.76,0.39555555555555555
4962,0.2857142984867096,0.8000000000000002,0.8971428571428571
4964,0.75,0.96,0.75
4965,0.625,0.88,0.8300000000000001
4970,0.5,0.8000000000000002,0.5029629629629631
4973,0.4000000059604645,0.88,0.3733333333333333
4976,0.3333333432674408,0.76,0.41714285714285715
4979,0.5,0.76,0.61
4980,0.4615384638309479,0.72,0.7784615384615384
4981,0.1666666716337204,0.8000000000000002,0.16333333333333333
4983,0.3333333432674408,0.8399999999999999,0.3333333333333333
4991,0.1666666716337204,0.8000000000000002,0.14
4993,0.375,0.8000000000000002,0.3614285714285714
4996,0.25,0.88,0.20666666666666667
4999,0.3333333432674408,0.68,0.5709090909090909
5007,0.5714285969734192,0.88,0.5733333333333334
5010,0.1666666716337204,0.8000000000000002,0.14
5011,0.4000000059604645,0.76,0.41333333333333333
5014,0.3333333432674408,0.92,0.3333333333333333
5024,0.2857142984867096,0.8000000000000002,0.2622222222222222
5032,0.6666666865348816,0.92,0.6800000000000002
5033,0.375,0.8000000000000002,0.3614285714285714
5034,0.4285714328289032,0.8399999999999999,0.415
5040,0.375,0.8000000000000002,0.575
5042,0.3333333432674408,0.8399999999999999,0.33
5048,0.5,0.8000000000000002,0.8
5054,0.3333333432674408,0.8399999999999999,0.38666666666666666
5056,0.1428571492433548,0.76,0.14666666666666667
5057,0.3333333432674408,0.8399999999999999,0.30666666666666664
5058,0.7142857313156128,0.92,0.7344444444444446
5062,0.5,0.88,0.5
5068,0.6000000238418579,0.8399999999999999,0.6425
5070,0.4166666567325592,0.72,0.5571428571428572
5076,0.3076923191547394,0.64,0.6676923076923077
5086,0.375,0.8000000000000002,0.48142857142857143
5101,0.375,0.8000000000000002,0.3614285714285714
5103,0.4444444477558136,0.8000000000000002,0.46095238095238095
5110,0.5714285969734192,0.88,0.6914285714285714
5118,0.4444444477558136,0.8000000000000002,0.5009523809523809
5121,0.4285714328289032,0.8399999999999999,0.415
5123,0.4444444477558136,0.8000000000000002,0.5009523809523809
5125,0.20000000298023224,0.8399999999999999,0.165
5131,0.38461539149284363,0.68,0.7415384615384615
5132,0.5,0.92,0.4844444444444444
5134,0.5,0.8399999999999999,0.4971428571428571
5135,0.4000000059604645,0.76,0.4
5137,0.5,0.8399999999999999,0.5771428571428572
5138,0.4285714328289032,0.8399999999999999,0.44
5141,0.4444444477558136,0.8000000000000002,0.44
5142,0.5,0.88,0.48999999999999994
5148,0.2857142984867096,0.8000000000000002,0.38222222222222224
5150,0.4444444477558136,0.8000000000000002,0.4444444444444444
5155,0.4285714328289032,0.8399999999999999,0.415
5167,0.1818181872367859,0.64,0.23539682539682538
5168,0.4444444477558136,0.8000000000000002,0.56
5170,0.75,0.92,0.83
5182,0.1111111119389534,0.68,0.10250000000000001
5184,0.3076923191547394,0.64,0.4910714285714286
5188,0.5,0.88,0.5
5190,0.7142857313156128,0.92,0.7142857142857143
5191,0.5,0.76,0.61
5192,0.4166666567325592,0.72,0.6966666666666667
5195,0.6666666865348816,0.92,0.7466666666666666
5196,0.4545454680919647,0.76,0.5568253968253969
5197,0.4000000059604645,0.76,0.64
5200,0.0,0.76,0.16
5201,0.3333333432674408,0.8399999999999999,0.33
5203,0.4000000059604645,0.64,0.76
5204,0.5,0.8399999999999999,0.5244444444444444
5206,0.2857142984867096,0.8000000000000002,0.2857142857142857
5209,0.5,0.92,0.5
5210,0.375,0.8000000000000002,0.3614285714285714
5211,0.5,0.88,0.54
5213,0.2857142984867096,0.8000000000000002,0.28
5214,0.6000000238418579,0.92,0.6025
5215,0.25,0.64,0.38321428571428573
5216,0.7142857313156128,0.92,0.8971428571428571
5217,0.5,0.8399999999999999,0.5244444444444444
5218,0.4000000059604645,0.76,0.46592592592592597
5219,0.3333333432674408,0.8399999999999999,0.3333333333333333
5224,0.75,0.96,0.6944444444444444
5229,0.25,0.76,0.25
5230,0.1666666716337204,0.8000000000000002,0.26
5235,0.3636363744735718,0.72,0.4057142857142857
5259,0.20000000298023224,0.8399999999999999,0.325
5264,0.375,0.8000000000000002,0.575
5266,0.1666666716337204,0.8000000000000002,0.16666666666666666
5276,0.4285714328289032,0.8399999999999999,0.44
5280,0.25,0.76,0.21333333333333332
5283,0.375,0.8000000000000002,0.42
5288,0.4285714328289032,0.8399999999999999,0.495
5315,0.25,0.76,0.23047619047619047
5325,0.4444444477558136,0.8000000000000002,0.6444444444444444
5326,0.27272728085517883,0.68,0.5927272727272728
5328,0.5,0.8399999999999999,0.5771428571428572
5329,0.5,0.88,0.48999999999999994
5338,0.4545454680919647,0.76,0.45666666666666667
5340,0.800000011920929,0.96,0.8400000000000001
5347,0.20000000298023224,0.52,0.4423376623376623
5351,0.5714285969734192,0.88,0.6133333333333333
5352,0.7142857313156128,0.92,0.7344444444444446
5354,0.3333333432674408,0.8399999999999999,0.30666666666666664
5355,0.4444444477558136,0.8000000000000002,0.56
5356,0.800000011920929,0.96,0.8400000000000001
5360,0.7142857313156128,0.92,0.7344444444444446
5361,0.4444444477558136,0.8000000000000002,0.5009523809523809
5363,0.4285714328289032,0.8399999999999999,0.44
5382,0.3333333432674408,0.76,0.48125
5385,0.6000000238418579,0.92,0.75
5389,0.4444444477558136,0.8000000000000002,0.56
5392,0.625,0.88,0.6752380952380952
5395,0.20000000298023224,0.8399999999999999,0.2
5410,0.6000000238418579,0.8399999999999999,0.76
5421,0.3333333432674408,0.76,0.37
5423,0.5,0.8399999999999999,0.4971428571428571
5429,0.5,0.8399999999999999,0.4971428571428571
5430,0.0,0.76,0.12
5432,0.6000000238418579,0.92,0.6
5439,0.375,0.6,0.54
5441,0.4285714328289032,0.8399999999999999,0.415
5448,0.375,0.8000000000000002,0.3614285714285714
5454,0.5,0.8399999999999999,0.5
5459,0.4000000059604645,0.76,0.4
5470,0.25,0.76,0.25
5471,0.5714285969734192,0.88,0.5714285714285714
5472,0.4000000059604645,0.88,0.41333333333333333
5477,0.1818181872367859,0.64,0.22
5481,0.3333333432674408,0.76,0.32125
5482,0.3636363744735718,0.72,0.56
5483,0.4285714328289032,0.8399999999999999,0.44
5487,0.3333333432674408,0.76,0.33714285714285713
5495,0.3333333432674408,0.8399999999999999,0.38666666666666666
5497,0.3333333432674408,0.76,0.41714285714285715
5501,0.3333333432674408,0.8399999999999999,0.38666666666666666
5513,0.4285714328289032,0.8399999999999999,0.42857142857142855
5514,0.5,0.88,0.48999999999999994
5518,0.75,0.96,0.75
5519,0.3636363744735718,0.72,0.56
5521,0.1666666716337204,0.8000000000000002,0.16333333333333333
5525,0.4000000059604645,0.76,0.64
5531,0.1428571492433548,0.76,0.14666666666666667
5533,0.4285714328289032,0.8399999999999999,0.5333333333333333
5538,0.375,0.8000000000000002,0.42
5539,0.4545454680919647,0.76,0.6166666666666667
5544,0.4285714328289032,0.8399999999999999,0.495
5554,0.5555555820465088,0.8399999999999999,0.5608333333333334
5556,0.3333333432674408,0.76,0.32125
5558,0.4285714328289032,0.8399999999999999,0.415
5563,0.5,0.88,0.7251851851851852
5578,0.25,0.76,0.23047619047619047
5581,0.5,0.76,0.5299999999999999
5582,0.0,0.68,0.04
5612,0.3333333432674408,0.8399999999999999,0.30666666666666664
5613,0.3333333432674408,0.76,0.41714285714285715
5627,0.5714285969734192,0.88,0.8208333333333333
5628,0.6666666865348816,0.92,0.7466666666666666
5629,0.4444444477558136,0.8000000000000002,0.46095238095238095
5635,0.3333333432674408,0.68,0.5709090909090909
5640,0.6666666865348816,0.88,0.7866666666666666
5641,0.20000000298023224,0.8399999999999999,0.3333333333333333
5646,0.4444444477558136,0.8000000000000002,0.56
5655,0.3333333432674408,0.8399999999999999,0.33
5659,0.2222222238779068,0.72,0.22285714285714286
5665,0.6000000238418579,0.92,0.6
5666,0.6000000238418579,0.92,0.6
5667,0.5714285969734192,0.88,0.6133333333333333
5669,0.8571428656578064,0.96,0.8571428571428571
5670,0.5,0.8000000000000002,0.6229629629629629
5671,0.5,0.88,0.5
5674,0.4000000059604645,0.88,0.4
5680,0.4285714328289032,0.8399999999999999,0.415
5684,0.4375,0.64,0.5312121212121212
5688,0.5,0.8399999999999999,0.5
5691,0.2857142984867096,0.6,0.4877922077922078
5694,0.6666666865348816,0.92,0.6666666666666666
5705,0.4444444477558136,0.8000000000000002,0.4444444444444444
5706,0.6666666865348816,0.92,0.7466666666666666
5710,0.0,0.8000000000000002,0.04
5715,0.5555555820465088,0.8399999999999999,0.6408333333333334
5716,0.6666666865348816,0.92,0.7466666666666666
5717,0.75,0.92,0.7746938775510204
